panel,config,label,seed,budget_sec,iterations,training_time_sec,eval_time_sec,wall_time_sec,exploitability,gap_vs_full,info_sets
fixed,fixed_k5_imperfect,k5 imperfect,2,180.0,11307,180.00431072896754,0.2272589340000195,180.2431133250002,0.5741540976337917,0.5741068838767083,108
fixed,fixed_k5_imperfect,k5 imperfect,3,180.0,11330,180.01057450701683,0.2658477959994343,180.2878766140002,0.5742948799767351,0.5742519758591091,108
fixed,fixed_full_bucket_perfect,full bucket p,1,180.0,11207,180.01510641995083,0.2929756849998739,180.31709157099976,3.7193991487896594e-06,-3.942771016569174e-05,288
fixed,fixed_full_bucket_perfect,full bucket p,2,180.0,10073,180.0088924760321,0.25716218300021865,180.27613279199977,4.658765639119211e-06,-4.25549914443088e-05,288
fixed,fixed_full_bucket_perfect,full bucket p,3,180.0,11139,180.00104713598375,0.25193288099944766,180.26209852299962,4.169165595556412e-06,-3.873495203041838e-05,288
fixed,fixed_full_bucket_imperfect,full bucket i,1,180.0,11277,180.0114909970407,0.2536190600003465,180.27601094500005,4.004147829035631e-06,-3.914296148544577e-05,288
fixed,fixed_full_bucket_imperfect,full bucket i,2,180.0,11279,180.0141658959783,0.26548952699977235,180.29088496700024,4.066540322054946e-06,-4.3147216761373064e-05,288
fixed,fixed_full_bucket_imperfect,full bucket i,3,180.0,11244,180.00717761507258,0.28870667299997876,180.30688988900056,3.7026342799492684e-06,-3.920148334602552e-05,288
mini,mini_full,Full mini-NL,1,180.0,452,180.3427272839881,1.3376208729996506,181.68133404200034,0.006846132941209192,0.0,4704
mini,mini_full,Full mini-NL,2,180.0,439,180.26832978899165,1.589229682000223,181.8585120079997,0.006908732100998939,0.0,4704
mini,mini_full,Full mini-NL,3,180.0,425,180.41837700102678,1.6141231659985351,182.03349885900025,0.006995576594856279,0.0,4704
mini,mini_action_abs,Action abs,1,180.0,2315,180.07306009999047,1.5439782600005856,181.61979263799913,0.6728308287109043,0.6659846957696951,936
mini,mini_action_abs,Action abs,2,180.0,2358,180.00831194700186,1.6132993299997906,181.62439884500054,0.6728562036312251,0.6659474715302262,936
mini,mini_action_abs,Action abs,3,180.0,2341,180.0632589100187,1.5167747350005811,181.58291497900063,0.6728480290267758,0.6658524524319195,936
extended,ext_full,Full extended,1,180.0,114,180.47797913499562,5.6660205950011004,186.14452570899994,0.025871158069405403,0.0,10304
extended,ext_full,Full extended,2,180.0,112,181.55871309699978,6.3232730720010295,187.88250063899977,0.02662272015658179,0.0,10304
extended,ext_full,Full extended,3,180.0,107,181.71832906399504,6.182306799999424,187.9012080550001,0.028957665410962168,0.0,10304
extended,ext_suit,Suit iso,1,180.0,645,180.27600920697478,7.108762544001365,187.38602291499956,0.0013148884686055642,-0.02455626960079984,2968
extended,ext_suit,Suit iso,2,180.0,643,180.0354910760143,6.314989131000402,186.35175716899903,0.0013241441233974652,-0.025298576033184327,2968
extended,ext_suit,Suit iso,3,180.0,726,180.0543594239807,5.442937652000182,185.49829880900143,0.001140656651768733,-0.027817008759193435,2968
extended,ext_suit_action,Suit + action,1,180.0,4347,180.02463984707538,5.420877475999077,185.450154836999,4.69610127215761,4.670230114088205,504
extended,ext_suit_action,Suit + action,2,180.0,4058,180.03441452903098,5.486911632000556,185.52680988300017,4.696157217279684,4.669534497123102,504
extended,ext_suit_action,Suit + action,3,180.0,4029,180.0235358930222,5.579692802000864,185.60779612199985,4.696164730756426,4.667207065345464,504
extended,ext_triple,Suit + action + buckets,1,180.0,3672,180.03735501802294,6.067653082000106,186.10900933899939,4.73447341006516,4.708602251995755,108
extended,ext_triple,Suit + action + buckets,2,180.0,3676,180.0270511479539,5.496632468000826,185.52730258999873,4.734435429883177,4.7078127097265945,108
extended,ext_triple,Suit + action + buckets,3,180.0,3733,180.0147610340082,6.286476903000221,186.30481553699974,4.734491595992223,4.705533930581261,108
